900046192;Морозов М.М.;Головино п., Улица не указана, Школьная, 0;0;0
900053773;Сидоров С.С.;Киржач г., Садовая пл, 96, 18;519;490.49;3300000001 ХВС;0
900053777;Васильев Е.Е.;Лакинск г., Набережная пер, 144, 145;519;0
900053782;Лебедев Л.Л.;Семьинское с., Пушкина пер, 34, 6;519;0
900053832;Егоров Е.Е.;Вязники г., Гагарина шоссе, 6, 83;519;305.53;3300000001 ХВС;0
900053874;Михайлов М.М.;Киржач г., Улица не указана, Строительная, 0;0;0
900053888;Васильев Е.Е.;Покров г., Гагарина наб, 32, 31;519;0
900053903;Петров П.П.;Камешково г., Строительная мкр, 62, 140;519;0
900053910;Морозов М.М.;Собинка г., Новая пл, 48, 61;519;535.02;3300000001 ХВС;0
900053922;Фёдоров Ф.Ф.;Головино п., Колхозная наб, Дом не указан, Квартира не указана;519;369.73
900053928;Попов Д.Д.;Семьинское с., Улица не указана, Центральная, 0;0;0
900054009;Васильев Е.Е.;Головино п., Улица не указана, Колхозная, 0;0;0
900054035;Лебедев Л.Л.;Семьинское с., Мира ул, 1, 67;519;0
900054092;данные отсутствуют;Юрьевец п., Садовая пл, 150, 0;519;375.36
900054098;Смирнов В.В.;Ставрово п., Колхозная ул, Дом не указан, Квартира не указана;519;182.15
900054132;Волков В.В.;Киржач г., Заречная наб, 108, 64;519;0
900054147;данные отсутствуют;Покров г., Комсомольская тер, 49, 0;519;280.07
900054153;данные отсутствуют;Красная Горбатка п., Набережная пер, 98, 0;519;526.27
900054158;Лебедев Л.Л.;Киржач г., Лесная пл, 36А, 35;519;0
900054175;Волков В.В.;Владимир г., Свободы ул, 91, 33;519;67.72;3300000001 ХВС;0
900054199;Кузнецов А.А.;Суздаль г., Школьная шоссе, Дом не указан, Квартира не указана;519;345.60
900054227;Васильев Е.Е.;Новоселка д., Гагарина пл, 101А, 147;519;0
900054242;Петров П.П.;Красная Горбатка п., Колхозная ул, 22, 143;519;0
900054255;Сидоров С.С.;Покров г., Полевая пр-кт, 4, 111;519;244.57;3300000001 ХВС;0
900054277;Фёдоров Ф.Ф.;Юрьевец п., Лесная мкр, 136, 100;519;0
900054288;Егоров Е.Е.;Сокол п., Садовая мкр, 48, 49;519;211.30;3300000001 ХВС;0
900054338;Петров П.П.;Муром г., Улица не указана, Новая, 0;0;0
900054354;Васильев Е.Е.;Кольчугино г., Центральная ул, 56, 136;519;60.75;3300000001 ХВС;0
900054355;Кузнецов А.А.;Александров г., Луговая пл, Дом не указан, Квартира не указана;519;189.35
900054356;Иванов И.И.;Вязники г., Первомайская б-р, 58, 72;519;0
900054364;Михайлов М.М.;Боголюбово п., Ленина шоссе, Дом не указан, Квартира не указана;519;190.39
900054375;Кузнецов А.А.;Камешково г., Строительная мкр, 117, 49;519;0
900054392;Петров П.П.;Ковров г., Улица не указана, Пионерская, 0;0;0
900054440;Волков В.В.;Вязники г., Набережная мкр, Дом не указан, Квартира не указана;519;96.13
900054457;Иванов И.И.;Сокол п., Полевая б-р, 86, 76;519;495.51;3300000001 ХВС;0
900054462;данные отсутствуют;Кольчугино г., Новая б-р, 57, 0;519;283.31
900054475;Кузнецов А.А.;Покров г., Садовая тер, 71, 65;519;533.16;3300000001 ХВС;0
900054502;Васильев Е.Е.;Новоселка д., Молодежная пл, Дом не указан, Квартира не указана;519;233.23
900054571;Морозов М.М.;Новоселка д., Ленина б-р, 136А, 103;519;272.04;3300000001 ХВС;0
900054605;Кузнецов А.А.;Сокол п., Луговая пр-кт, Дом не указан, Квартира не указана;519;455.12
900054643;данные отсутствуют;Камешково г., Первомайская наб, 86, 0;519;76.64
900054649;Лебедев Л.Л.;Владимир г., Лесная пл, 31, 9;519;544.74;3300000001 ХВС;0
900054690;данные отсутствуют;Муром г., Победы мкр, 82, 0;519;472.58
900054733;Михайлов М.М.;Юрьевец п., Садовая ул, 82, 113;519;0
900054764;Васильев Е.Е.;Суздаль г., Колхозная ул, Дом не указан, Квартира не указана;519;294.34
900054768;Егоров Е.Е.;Владимир г., Новая мкр, Дом не указан, Квартира не указана;519;150.66
900054788;Семёнов С.С.;Киржач г., Победы пр-кт, 12, 47;519;146.48;3300000001 ХВС;0
900054802;Иванов И.И.;Кольчугино г., Победы пл, 38, 92;519;0
900054807;Попов Д.Д.;Семьинское с., Октябрьская тер, 44, 131;519;380.67;3300000001 ХВС;0
900054921;Иванов И.И.;Семьинское с., Победы б-р, Дом не указан, Квартира не указана;519;226.36
900054967;данные отсутствуют;Собинка г., Октябрьская ул, 82, 0;519;445.17
900054969;данные отсутствуют;Юрьевец п., Школьная тер, 78, 0;519;91.07
900054970;данные отсутствуют;Бавлены п., Пионерская пер, 49, 0;519;464.68
900054972;данные отсутствуют;Головино п., Колхозная мкр, 127, 0;519;360.11
900054985;данные отсутствуют;Камешково г., Гагарина наб, 89, 0;519;375.25
900055051;данные отсутствуют;Бавлены п., Колхозная шоссе, 115, 0;519;139.45
900055053;Фёдоров Ф.Ф.;Красная Горбатка п., Центральная шоссе, 8, 122;519;0
900055100;Лебедев Л.Л.;Красная Горбатка п., Школьная пр-кт, 125, 129;519;0
900055120;Фёдоров Ф.Ф.;Кольчугино г., Колхозная мкр, 135, 5;519;188.57;3300000001 ХВС;0
900055126;данные отсутствуют;Киржач г., Октябрьская тер, 86, 0;519;214.48
900055129;Михайлов М.М.;Вязники г., Мира мкр, 38, 89;519;254.54;3300000001 ХВС;0
900055137;Попов Д.Д.;Камешково г., Советская пер, 43, 65;519;0
900055140;Фёдоров Ф.Ф.;Юрьевец п., Пионерская мкр, 102, 17;519;0
900055155;Морозов М.М.;Киржач г., Школьная шоссе, Дом не указан, Квартира не указана;519;233.23
900055185;Егоров Е.Е.;Лемешки с., Улица не указана, Свободы, 0;0;0
900055186;Новиков Н.Н.;Ставрово п., Гагарина шоссе, Дом не указан, Квартира не указана;519;405.39
900055224;Петров П.П.;Киржач г., Заречная пер, Дом не указан, Квартира не указана;519;289.10
900055231;Сидоров С.С.;Телегино д., Улица не указана, Набережная, 0;0;0
900055235;Семёнов С.С.;Юрьевец п., Лесная наб, 115, 82;519;294.38;3300000001 ХВС;0
900055290;Петров П.П.;Владимир г., Строительная пр-кт, Дом не указан, Квартира не указана;519;154.16
